Plot ID ,Province ,Forest class ,X ,Y ,AGB ,BGB 
356,Xiengkhouang ,MD ,103.1656858,19.82967552,129.41,31.06
358,Xaignabouly ,MD ,101.0740904,19.67108498,123.75,24.75
359,Xiengkhouang ,MD ,103.0585917,19.69767408,137.88,33.09
360,Xaignabouly ,MD ,101.4508341,19.57082015,124.64,24.93
364,Xiengkhouang ,MD ,103.5454961,19.15517727,268.12,64.35
366,Xaisomboun ,MD ,103.5074865,19.0220874,120.29,24.06
367,Xaisomboun ,MD ,102.7307166,18.7050125,155.77,37.39
369,Vientiane ,MD ,101.9334969,18.57198331,62.29,12.46
370,Xaisomboun ,MD ,102.7252544,18.50493064,154.25,37.02
371,Bolikhamxai ,MD ,104.6257971,18.43797311,168,40.32
373,Vientiane ,MD ,101.6065724,18.22520776,154.11,36.99
374,Vientiane Capital ,MD ,102.1443268,18.27575042,100.4,20.08
375,Vientiane ,MD ,101.6527459,18.23092983,90.1,18.02
376,Bolikhamxai ,MD ,105.0623567,18.26797935,181.76,43.62
377,Vientiane Capital ,MD ,102.3772111,18.08040263,137.97,33.11
378,Vientiane ,MD ,101.7443708,18.06636688,85.43,17.09
379,Vientiane ,MD ,101.4689822,18.00873761,63.17,12.63
382,Khammouan ,MD ,105.0887544,17.44422003,176.48,42.35
384,Savannakhet ,MD ,105.3419553,17.00117497,112.25,22.45
386,Savannakhet ,MD ,105.2647217,16.47580096,124.61,24.92
389,Xekong ,MD ,107.2066727,15.62738892,161.82,38.84
395,Champasak ,MD ,106.0331109,14.2060711,130.47,31.31
396,Champasak ,MD ,106.0462843,14.14237484,125.3,30.07
397,Champasak ,MD ,106.0584265,14.14982853,116.66,23.33
398,Phongsaly ,MD ,101.8612221,21.67218678,134.75,32.34
399,Phongsaly ,MD ,101.9915691,21.5144126,227.1,54.51
403,Louangnamtha ,MD ,100.9287336,21.05668014,134.57,32.3
409,Oudomxai ,MD ,101.7556866,20.38313089,131.74,31.62
411,Houaphan ,MD ,104.248748,20.27490407,131.12,31.47
413,Houaphan ,MD ,103.459963,20.05534531,186.87,44.85
414,Houaphan ,MCB ,103.9074008,20.06731651,206.31,49.51
417,Louangphabang ,MD ,102.472757,19.64058802,124.67,24.93
420,Xiengkhouang ,CF ,103.1044254,19.39375993,151.82,34.92
421,Xaignabouly ,MD ,101.4958383,19.2569472,175.53,42.13
424,Vientiane ,MD ,102.1527539,19.14281158,141.78,34.03
425,Xiengkhouang ,MD ,103.7883761,19.14826442,311.25,74.7
